ID,Nombre,Equipo,Puntaje,Competencias
7590,Peco,Flamengo,95.6,19
8033,Secaleco,Botafogo,96.3,20
7698,Covavano,Santos,61.4,15
7689,Dica,Palmeiras,82.2,34
5138,Dalemico,Botafogo,82.8,22
1606,Sefi,Atletico Mineiro,91.9,28
3495,Dacaseco,Santos,69.9,28
7373,Mamiso,Atletico Mineiro,68.1,28
10000,Lusenase,Vasco da Gama,78.5,27
2214,Fiseva,Internacional,81.8,4
6719,Fevasafe,Vasco da Gama,55.7,17
4715,Pamipe,Vasco da Gama,91.3,40
8549,Lufeco,Internacional,81.3,8
7929,Topanona,Internacional,87.5,11
6320,Conamife,Fluminense,69.9,17
8959,Luva,Botafogo,92.2,36
5426,Micanale,Cruzeiro,77.2,14
128,Tominova,Santos,83.5,14
4238,Sodivava,Corinthians,56.4,23
4910,Sodafilu,Cruzeiro,96.2,5
595,Tifiluca,Vasco da Gama,74.4,3
8630,Manare,Botafogo,91.6,10
9705,Nocofi,Botafogo,51.1,16
3632,Noti,Flamengo,54.1,18
2821,Peto,Vasco da Gama,88.8,15
4853,Semasore,Santos,74.0,28
117,Saca,Vasco da Gama,98.4,36
7998,Coda,Corinthians,50.1,21
976,Fimiro,Santos,75.7,37
1637,Dare,Palmeiras,81.0,1
1966,Cocamimi,Vasco da Gama,97.2,4
391,Mimi,Corinthians,55.8,13
6375,Sovaco,Cruzeiro,80.0,32
3114,Luti,Gremio,56.0,40
8934,Feluno,Internacional,81.4,33
4894,Recaluma,Botafogo,92.9,19
6898,Sejapa,Fluminense,71.7,18
1420,Capefe,Atletico Mineiro,99.2,15
5041,Pema,Vasco da Gama,99.9,16
9342,Seludi,Cruzeiro,84.0,13
6245,Rocolere,Cruzeiro,69.0,31
528,Tife,Corinthians,76.5,30
2196,Noluna,Palmeiras,74.5,27
622,Dana,Gremio,90.5,25
4140,Leco,Sao Paulo,95.9,13
4252,Cafe,Internacional,96.6,29
8832,Lelu,Internacional,92.6,26
378,Carofe,Fluminense,75.6,13
1445,Bape,Sao Paulo,74.0,4
3674,Cocofimi,Corinthians,78.9,30
6238,Reno,Atletico Mineiro,61.7,3
9179,Soja,Santos,60.4,18
2605,Jare,Santos,51.3,36
3356,Mifimada,Corinthians,75.8,18
5164,Bareja,Internacional,91.3,28
8402,Setija,Atletico Mineiro,85.8,40
8651,Sotima,Flamengo,65.6,21
6794,Paca,Corinthians,68.2,12
1858,Fedafema,Sao Paulo,72.4,28
3347,Rolu,Palmeiras,78.0,8
756,Bafijaja,Fluminense,70.7,16
5083,Sejana,Cruzeiro,72.0,10
4724,Daroto,Corinthians,74.1,11
8378,Miva,Fluminense,71.7,36
7777,Mapeto,Fluminense,74.5,9
8738,Dise,Sao Paulo,84.3,36
566,Cacafi,Cruzeiro,82.2,12
4697,Felufiso,Cruzeiro,53.4,2
965,Conatisa,Cruzeiro,85.7,31
4866,Lesasa,Corinthians,91.1,1
1263,Valepe,Sao Paulo,82.0,35
2186,Sacarelu,Cruzeiro,95.6,33
2303,Lumija,Gremio,90.5,18
2826,Sosa,Santos,79.6,1
2451,Dabana,Corinthians,70.6,33
5778,Timanoja,Palmeiras,56.7,38
8989,Cajasa,Vasco da Gama,70.2,20
9560,Nopa,Fluminense,59.1,23
4921,Lule,Santos,79.2,32
507,Secanoso,Corinthians,91.5,40
3428,Codi,Internacional,93.4,9
9206,Mimama,Flamengo,63.7,28
6922,Todidito,Internacional,89.7,38
2474,Mirodito,Fluminense,50.3,37
681,Nonati,Santos,67.6,33
1444,Fiti,Flamengo,80.0,17
1512,Nada,Sao Paulo,60.6,1
5720,Lemiro,Corinthians,90.8,1
6921,Pelu,Vasco da Gama,96.3,19
6111,Damirese,Atletico Mineiro,65.0,11
6383,Sepe,Gremio,64.0,32
6202,Setova,Santos,59.7,24
2012,Sefepa,Sao Paulo,92.0,14
3867,Basacati,Botafogo,96.8,8
3665,Revapa,Cruzeiro,71.9,3
5794,Dapenana,Fluminense,92.5,14
3334,Codafifi,Internacional,68.3,18
7671,Tofiro,Botafogo,71.8,3
536,Toro,Corinthians,81.2,16
479,Sapa,Sao Paulo,72.2,40
6407,Maleto,Gremio,61.9,2
1689,Resamafi,Internacional,63.1,28
598,Dafile,Vasco da Gama,78.9,11
6026,Bacafe,Sao Paulo,75.2,21
5796,Mada,Corinthians,92.6,19
3413,Parosaro,Atletico Mineiro,76.6,8
3181,Difeto,Gremio,96.0,7
2822,Dija,Santos,65.5,9
8841,Fepe,Internacional,50.2,32
2476,Sato,Santos,93.3,26
3372,Sosaso,Santos,58.6,31
7225,Maca,Gremio,56.8,19
2411,Filu,Atletico Mineiro,78.3,16
3623,Masoba,Gremio,76.5,32
7391,Tonole,Vasco da Gama,56.0,27
790,Pecanoca,Palmeiras,58.4,14
4170,Lusada,Vasco da Gama,75.3,30
5166,Coba,Santos,57.3,35
5003,Leba,Santos,80.0,24
3381,Pepa,Atletico Mineiro,59.3,30
7379,Mivacodi,Vasco da Gama,85.4,8
6672,Nono,Cruzeiro,83.0,4
6361,Reda,Corinthians,97.5,18
1543,Basare,Santos,81.6,28
1857,Rele,Fluminense,97.7,39
5980,Lupe,Flamengo,77.9,17
6515,Noca,Internacional,65.9,21
9423,Cobareba,Flamengo,91.4,37
8705,Pase,Botafogo,78.1,35
153,Dadito,Fluminense,92.8,14
3589,Daja,Internacional,74.0,35
8090,Sofe,Fluminense,75.7,25
9761,Fidaredi,Fluminense,69.6,33
4395,Lemile,Corinthians,86.1,29
3374,Nadi,Flamengo,93.5,18
3998,Fifeluco,Fluminense,61.8,24
8037,Dilemito,Flamengo,90.9,35
755,Naco,Atletico Mineiro,55.7,20
7536,Titosoba,Botafogo,82.7,13
3430,Bapami,Internacional,99.6,5
8435,Mare,Internacional,95.9,21
1011,Miresalu,Sao Paulo,98.9,38
1639,Lesalu,Botafogo,65.6,29
8949,Nanosema,Corinthians,80.2,36
7819,Nasafedi,Internacional,89.7,30
1686,Paso,Fluminense,52.8,20
1199,Reco,Fluminense,84.8,37
1885,Filuse,Corinthians,80.8,22
9555,Namivadi,Santos,91.2,7
2784,Bafele,Internacional,69.4,32
17,Reso,Gremio,92.6,28
8759,Dicosa,Gremio,84.8,31
1801,Petivape,Internacional,69.6,24
7526,Jamasase,Cruzeiro,97.3,35
5903,Padato,Flamengo,97.9,17
3420,Luto,Palmeiras,74.7,12
4087,Repasa,Palmeiras,61.1,38
1774,Mivacofi,Botafogo,84.9,40
6512,Tiresa,Corinthians,69.2,22
4519,Dasenopa,Vasco da Gama,68.6,5
5192,Recanoja,Gremio,51.4,26
1270,Tinocaba,Fluminense,77.7,27
5151,Casosepa,Flamengo,61.3,28
729,Dapaba,Cruzeiro,68.7,1
3999,Nomi,Vasco da Gama,85.0,8
8634,Noco,Gremio,55.3,40
5267,Disa,Atletico Mineiro,72.7,4
3948,Repemiro,Internacional,85.5,12
9772,Salureva,Vasco da Gama,88.7,17
5530,Vare,Atletico Mineiro,59.9,21
6705,Noto,Fluminense,91.0,38
9345,Rese,Gremio,79.3,34
1929,Conava,Atletico Mineiro,69.3,28
7947,Lupaba,Corinthians,60.7,17
665,Mivasemi,Atletico Mineiro,75.5,22
1584,Fitopeco,Corinthians,95.6,9
328,Mima,Palmeiras,94.6,34
2083,Jase,Fluminense,88.2,7
5767,Mananosa,Fluminense,57.1,22
1980,Bavabati,Internacional,95.0,30
4314,Ledino,Santos,60.2,20
5764,Fipaso,Botafogo,60.4,26
3487,Timase,Corinthians,81.8,37
4048,Somaca,Atletico Mineiro,56.7,10
7155,Nova,Internacional,63.4,18
8363,Dasa,Vasco da Gama,54.0,15
5336,Dape,Fluminense,63.9,14
2348,Petore,Atletico Mineiro,72.9,2
6478,Lesasomi,Palmeiras,98.6,16
1763,Cojaca,Internacional,65.7,24
5348,Sese,Atletico Mineiro,59.2,37
2810,Lutoro,Vasco da Gama,65.9,29
8611,Bapadale,Palmeiras,90.1,1
6744,Lepa,Cruzeiro,52.9,38
4062,Sediba,Botafogo,54.5,15
5255,Masetire,Cruzeiro,58.9,15
8150,Mireseca,Gremio,76.3,30
9469,Janava,Botafogo,68.2,40
4818,Sasadaro,Cruzeiro,67.4,11
9015,Disono,Cruzeiro,94.2,27
3245,Dadami,Gremio,80.2,38
9626,Ficoba,Botafogo,93.8,35
1687,Pamale,Atletico Mineiro,62.2,30
969,Novato,Palmeiras,63.4,8
3860,Resa,Santos,89.5,3
6861,Tope,Flamengo,93.8,5
3672,Parenafe,Fluminense,99.8,18
2336,Papareba,Corinthians,61.1,16
7770,Janasa,Sao Paulo,63.8,17
6848,Majacolu,Sao Paulo,61.0,27
1565,Tida,Santos,68.6,5
2930,Jaso,Cruzeiro,55.7,25
2328,Ledi,Gremio,81.9,22
3947,Tojacato,Corinthians,52.9,25
5402,Javatiti,Vasco da Gama,94.4,35
2071,Janomiba,Cruzeiro,81.4,33
1922,Reroto,Cruzeiro,80.1,20
7993,Catire,Corinthians,85.2,36
1434,Bavaca,Cruzeiro,80.0,22
1923,Sababapa,Cruzeiro,65.9,36
2733,Notomi,Vasco da Gama,73.8,20
7355,Tifema,Atletico Mineiro,96.7,21
956,Vaticoto,Fluminense,52.2,27
6107,Tino,Santos,62.7,36
5713,Japape,Flamengo,52.3,26
7041,Salenona,Atletico Mineiro,80.5,17
185,Ticase,Flamengo,76.4,40
8012,Cafepe,Fluminense,74.2,34
2464,Covaca,Flamengo,80.6,15
4260,Ditore,Fluminense,51.2,20
9310,Bajava,Internacional,92.1,6
4464,Toludi,Atletico Mineiro,57.4,14
5989,Mifeco,Atletico Mineiro,70.1,34
3206,Nojapeva,Internacional,95.3,1
7505,Tipafe,Vasco da Gama,97.1,5
3866,Tile,Sao Paulo,51.6,35
8828,Lupe,Gremio,79.6,35
7463,Rotisaca,Flamengo,91.8,27
7548,Jasorofe,Gremio,63.4,4
4556,Tibama,Atletico Mineiro,94.0,11
6923,Micosa,Sao Paulo,90.8,35
3002,Najasole,Palmeiras,88.3,15
1292,Tinapano,Vasco da Gama,89.0,12
966,Nasareso,Santos,92.9,1
3875,Pecosesa,Vasco da Gama,84.4,1
682,Lupedi,Sao Paulo,80.2,8
9707,Bacapese,Atletico Mineiro,69.6,30
4953,Nanadife,Palmeiras,87.4,25
1550,Leva,Santos,55.0,10
6924,Majami,Atletico Mineiro,95.1,16
7504,Sosefi,Internacional,70.4,4
8631,Fidi,Internacional,66.4,18
7704,Vavafe,Flamengo,56.8,19
2026,Fefe,Corinthians,51.7,17
7307,Tosa,Vasco da Gama,81.9,28
1630,Dacoroja,Gremio,96.0,22
7269,Nava,Fluminense,94.6,17
5799,Jacadaca,Vasco da Gama,52.2,8
7637,Peleva,Botafogo,68.4,24
459,Cafi,Santos,76.1,26
9974,Fino,Botafogo,92.9,31
5640,Padile,Internacional,82.2,27
2366,Japa,Atletico Mineiro,92.4,17
1268,Fico,Internacional,71.0,21
7404,Pami,Cruzeiro,74.7,5
7721,Febadida,Gremio,79.5,11
8084,Manamase,Botafogo,87.1,10
9212,Tidi,Santos,56.9,11
6086,Caca,Palmeiras,63.2,18
143,Pelefi,Santos,87.8,26
4341,Bacoluno,Internacional,67.3,34
448,Refi,Fluminense,66.1,25
7484,Mada,Gremio,66.8,36
9692,Dicaleto,Fluminense,75.3,9
545,Danomi,Internacional,57.6,28
6986,Ficofi,Sao Paulo,94.7,9
8471,Leluda,Vasco da Gama,76.7,4
7453,Naca,Sao Paulo,91.9,36
4813,Sapa,Cruzeiro,78.2,35
6335,Coma,Flamengo,55.3,12
925,Jatoso,Corinthians,52.5,25
387,Luvati,Atletico Mineiro,71.1,29
2871,Panorese,Santos,65.5,22
6944,Sesa,Cruzeiro,59.2,33
7842,Topepeja,Palmeiras,70.6,31
3175,Catitiro,Flamengo,97.2,20
7149,Tomicoro,Flamengo,80.7,38
2107,Majasa,Botafogo,70.6,31
7415,Canoti,Gremio,78.0,24
1754,Selecole,Sao Paulo,69.5,34
7065,Cofibasa,Internacional,86.1,36
4347,Daja,Santos,67.7,20
2975,Basono,Cruzeiro,64.2,8
6349,Micotiso,Vasco da Gama,54.8,32
3143,Rotorefe,Vasco da Gama,84.2,23
4465,Nofeseda,Corinthians,51.0,27
7835,Sefino,Vasco da Gama,55.2,21
6641,Capa,Gremio,92.4,2
30,Tovatofe,Atletico Mineiro,59.7,26
4515,Tonoso,Botafogo,84.8,32
1705,Namivapa,Flamengo,79.0,3
1122,Sejacapa,Gremio,78.4,16
9058,Sova,Cruzeiro,69.2,37
3040,Solu,Palmeiras,93.3,16
4001,Peti,Fluminense,58.6,1
4795,Mico,Atletico Mineiro,75.0,36
6837,Vajasa,Flamengo,91.0,33
1237,Nosare,Gremio,86.3,5
5770,Felesaba,Internacional,56.3,8
2795,Tiba,Fluminense,93.6,23
760,Luva,Internacional,99.5,29
7926,Cadana,Palmeiras,66.9,4
6528,Cosono,Santos,78.2,40
38,Lucaroco,Flamengo,70.3,27
1643,Nosopa,Palmeiras,50.2,18
3733,Socatoco,Santos,54.5,25
9449,Pereluse,Botafogo,53.1,20
5782,Titororo,Vasco da Gama,82.7,4
4900,Nolufi,Gremio,99.6,8
8799,Tiro,Gremio,88.4,34
4176,Nonoma,Cruzeiro,70.2,29
8046,Japetoti,Sao Paulo,85.5,29
3457,Fise,Botafogo,84.0,17
3642,Sodifiva,Internacional,57.2,13
8454,Nonono,Sao Paulo,72.8,30
2318,Toti,Corinthians,72.3,33
7405,Bajare,Corinthians,80.0,4
4618,Pasalesa,Flamengo,94.0,34
5280,Vasotope,Botafogo,84.0,18
3690,Peto,Santos,78.2,3
542,Pajapa,Palmeiras,55.9,1
132,Sova,Gremio,54.2,31
5048,Sano,Palmeiras,61.5,34
4454,Dimi,Cruzeiro,60.1,40
1448,Sotope,Sao Paulo,50.9,17
6552,Saso,Atletico Mineiro,92.3,6
4451,Role,Atletico Mineiro,68.8,1
6656,Soticadi,Botafogo,55.6,18
8002,Mino,Vasco da Gama,61.1,27
8551,Peti,Flamengo,95.7,32
4911,Pebano,Fluminense,77.7,3
2368,Finomi,Vasco da Gama,71.3,24
5334,Felulu,Gremio,97.0,31
985,Pelu,Internacional,69.9,24
2383,Vati,Botafogo,89.2,35
178,Dalu,Cruzeiro,74.2,15
7217,Daluda,Internacional,60.9,31
4201,Lebase,Vasco da Gama,60.2,9
1943,Luba,Corinthians,71.7,32
1329,Valupe,Internacional,67.3,30
3946,Papalesa,Internacional,66.2,35
9619,Tiluparo,Flamengo,91.4,4
1317,Fipesa,Sao Paulo,85.3,31
4406,Bavanose,Vasco da Gama,96.6,9
481,Jatova,Fluminense,51.9,1
5112,Jasati,Vasco da Gama,81.1,12
7098,Diseso,Flamengo,59.9,22
4505,Rerole,Internacional,91.2,26
6946,Mamafisa,Vasco da Gama,51.3,21
4837,Dareti,Sao Paulo,69.4,21
1413,Titomi,Internacional,89.3,11
6231,Datidi,Gremio,98.0,3
9985,Cofe,Vasco da Gama,93.8,32
6529,Nopapafe,Internacional,61.4,29
4956,Sapeso,Palmeiras,89.6,3
